Order - Number,Ship To - City,Ship To - Postal Code,Ship To - State
238839,SHERMAN OAKS,91403-5048,CA
238811,PLEASANT GROVE,84062-9402,UT
238989,IRA,79527-2012,TX
238880,CLERMONT,30527-1911,GA
239485,FURLONG,18925-2110,PA
239484,Rosendale,12472,NY
239482,ELLENTON,34222-7256,FL
239481,CHARLOTTE,28226-8900,NC
239480,LAGRANGEVILLE,12540-5938,NY
239479,NASHVILLE,37216-1110,TN
239476,NORTH PLAINFIELD,07062-2323,NJ
239474,RUSKIN,33570-3004,FL
239473,VANCEBORO,28586-9130,NC
239471,MUKWONAGO,53149-9740,WI
239469,BELFORD,07718-1228,NJ
239468,WARRENTON,20187-9312,VA
239467,JENSEN BEACH,34957-4640,FL
239465,SARATOGA SPRINGS,12866-3523,NY
239464,CAIRO,39827-5627,GA
239463,KALAMAZOO,49006-4467,MI
239462,MT JULIET,37122-6524,TN
239461,MARYVILLE,37801-2968,TN
239460,MORRIS,60450-6401,IL
239458,RICHMOND,23233-2032,VA
239454,CRESTON,28615-8914,NC
239453,BALTIMORE,21224-4938,MD
239452,PANAMA CITY,32405-0411,FL
239451,AUSTIN,78758-5022,TX
239448,SALEM,24153-5313,VA
239446,STERLING,20165-6242,VA
240089,PORT WASHINGTON,11050-3932,NY
240088,el cerrito,94530,CA
240082,SANTA ANA,92705-3410,CA
240078,PORTLAND,97206-1327,OR
240074,BENBROOK,76126-4267,TX
240072,NEW YORK,10031-3306,NY
240063,VISTA,92083-4721,CA
240062,HARMONY,02829-1101,RI
240059,CAMPBELL,95008-2861,CA
240058,SUGAR LAND,77478-4298,TX
240053,TELLURIDE,81435-9104,CO
240051,Sun Valley,83353,ID
240050,EL CAJON,92020-8238,CA
240049,GRAND JCT,81507-9718,CO
240045,BERKELEY,94705-1832,CA
240043,ESCONDIDO,92025-6227,CA
240042,PLACENTIA,92870-6002,CA
240040,REDONDO BEACH,90278-4425,CA
240030,TAYLOR,76574-7049,TX
240027,WALTON,67151-8856,KS
240026,NASHVILLE,37209-1959,TN
240025,SEATTLE,98125-4946,WA
240024,NEWPORT,03773-1221,NH
240023,LAVEEN,85339-7205,AZ
240022,EUSTIS,32726-5713,FL
240021,ATLANTA,30318-2010,GA
240020,SPRINGFIELD,62701-1110,IL
240019,SURF CITY,08008-5365,NJ
240018,CHARLOTTE,28227-8775,NC
240017,INDIANAPOLIS,46259-9622,IN
240015,NEW LONDON,44851-9051,OH
240014,PIGGOTT,72454-1210,AR
240013,HOUSTON,77056-1220,TX
240012,LUSBY,20657-4231,MD
240011,PELHAM,10803-2935,NY
240010,JOELTON,37080-4892,TN
240009,ORELAND,19075-1932,PA
240008,DE PERE,54115-8062,WI
240007,SEATTLE,98112-4870,WA
240006,FULTON,20759-2548,MD
240005,ALPHA,08865-4716,NJ
240004,LOS ANGELES,90039-3106,CA
240002,LOS RANCHOS,87107-5558,NM
240001,FORT LAUDERDALE,33301-2740,FL
240000,JOHNSON CITY,37615-3854,TN
239999,MIDLOTHIAN,23112-1912,VA
239998,BROOKSVILLE,34604-1490,FL
239997,HARTSVILLE,37074-3845,TN
239996,LEONARDO,07737-1511,NJ
239995,SYLVANIA,43560-1336,OH
239994,EAST ROCHESTER,14445-2212,NY
239991,EVERETT,98203-3466,WA
239990,Glens Falls,12801,NY
239989,CINCINNATI,45238-5232,OH
239988,FARMERSVILLE,75442-7990,TX
239987,CLEARWATER,33767-2964,FL
239986,GRANITEVILLE,29829-6067,SC
239985,UNCASVILLE,06382-2300,CT
239984,DURHAM,27713-7278,NC
239983,CRAWFORDVILLE,32327-3640,FL
239982,PLYMOUTH,02360-3595,MA
239981,TAMPA,33635-9720,FL
239980,NEW YORK,10025-7278,NY
239979,ROCKLEDGE,32955-3922,FL
239978,WATERTOWN,37184-4702,TN
239977,TOANO,23168-9376,VA
239976,SAVANNAH,38372-6571,TN
239975,MASON,45040-9313,OH
239974,OAKLAND,94606-1527,CA
239973,PARADISE,95969-2925,CA
239972,ASHEVILLE,28806-4624,NC
