Order - Number,Ship To - City,Ship To - Postal Code,Ship To - State
240266,SOUTHERN PINES,28387-5808,NC
240341,lake havasu city,86403,AZ
240334,Brooklyn,11236,NY
240332,North Falmouth,2556,MA
240331,Brooklyn,11222,NY
240330,North Kingstown,2852,RI
240433,ATLANTA,30361-3505,GA
240432,ROCKVILLE,20852-5001,MD
240431,FORT LAUDERDALE,33308-1488,FL
240428,FORNEY,75126-6875,TX
240427,WEST FARGO,58078-1638,ND
240426,UNION,41091-2512,KY
240424,FOREST HILLS,11375-4116,NY
240412,OLD HICKORY,37138-0010,TN
240411,RENO,89509-7024,NV
240408,CANYON COUNTRY,91351-5016,CA
240407,LEANDER,78641-4454,TX
240406,COULTERVILLE,95311-9569,CA
240404,SOUTHLAKE,76092-5932,TX
240402,SCOTTSDALE,85251-6529,AZ
240400,SAN DIEGO,92102-2723,CA
240393,MATHER,95655-3054,CA
240391,WALTHAM,02453-5055,MA
240383,TRUCKEE,96161-3848,CA
240382,ROCK SPRINGS,82901-4104,WY
240380,BEACON,12508-3428,NY
240379,STRATFORD,06614-1051,CT
240378,DENVER,80238-3423,CO
240376,MORGAN HILL,95037-5451,CA
240375,BELLE FOURCHE,57717-6007,SD
240373,NEW YORK,10075-0573,NY
240369,EL DORADO,95623-4607,CA
240365,EL PASO,79936-5253,TX
240364,SOUTH BOSTON,02127-1168,MA
240363,CARLSBAD,92009-8963,CA
240361,CANTON,06019-2017,CT
240358,BRONX,10458-3405,NY
240355,DALLAS,75219-5459,TX
240349,OAK CREEK,80467-5030,CO
240346,ARLINGTON,02476-6221,MA
