ZIP,LAT,LNG
96916,13.26,144.70
96917,13.30,144.74
96915,13.38,144.70
96928,13.38,144.66
96910,13.45,144.75
96921,13.46,144.79
96932,13.48,144.74
96913,13.48,144.81
96929,13.57,144.88
96951,14.15,145.21
96799,14.32,-170.75
96952,15.01,145.63
96950,15.19,145.75
00850,17.71,-64.75
00823,17.72,-64.75
00851,17.73,-64.77
00820,17.74,-64.69
00824,17.74,-64.68
00840,17.75,-64.88
00841,17.77,-64.81
00647,17.96,-66.95
00704,17.97,-66.22
00653,17.99,-66.89
00728,17.99,-66.66
00622,17.99,-67.15
00716,17.99,-66.61
00757,18.00,-66.39
00751,18.00,-66.25
00714,18.00,-66.05
00717,18.00,-66.61
00667,18.00,-67.04
00784,18.01,-66.13
00715,18.01,-66.56
00707,18.01,-65.92
00730,18.03,-66.62
00723,18.04,-66.02
00656,18.05,-66.79
00795,18.06,-66.50
00698,18.06,-66.86
00624,18.06,-66.72
00767,18.07,-65.90
00637,18.08,-66.95
00623,18.08,-67.15
00780,18.10,-66.57
00736,18.10,-66.15
00769,18.10,-66.36
00683,18.11,-67.04
00731,18.11,-66.64
00705,18.13,-66.27
00765,18.13,-65.44
00766,18.13,-66.48
00660,18.13,-67.12
00791,18.14,-65.82
00754,18.15,-65.98
00786,18.16,-66.23
00606,18.16,-66.93
00741,18.16,-65.75
00739,18.18,-66.16
00601,18.18,-66.75
00680,18.18,-67.13
00771,18.19,-65.87
00631,18.19,-66.83
00794,18.20,-66.31
00664,18.21,-66.59
00727,18.22,-66.07
00720,18.22,-66.43
00725,18.22,-66.04
00682,18.22,-67.16
00777,18.22,-65.91
00782,18.23,-66.22
00718,18.23,-65.76
00670,18.24,-66.99
00703,18.25,-66.13
00735,18.25,-65.68
00641,18.26,-66.71
00778,18.26,-65.98
00669,18.28,-66.87
00719,18.29,-66.25
00610,18.30,-67.13
00638,18.30,-66.52
00783,18.30,-66.33
00738,18.30,-65.70
00971,18.32,-66.12
00687,18.32,-66.42
00956,18.32,-66.17
00729,18.32,-65.88
00775,18.33,-65.31
00831,18.33,-64.79
00740,18.33,-65.63
00677,18.33,-67.23
00685,18.33,-66.96
00976,18.34,-65.99
00987,18.34,-65.94
00830,18.34,-64.74
00802,18.34,-64.92
00773,18.34,-65.72
00926,18.35,-66.05
00650,18.35,-66.58
00801,18.35,-64.97
00745,18.35,-65.82
00953,18.36,-66.25
00602,18.36,-67.18
00969,18.37,-66.11
00957,18.37,-66.19
00676,18.38,-67.08
00688,18.38,-66.63
00927,18.39,-66.07
00959,18.39,-66.15
00921,18.39,-66.09
00936,18.40,-66.07
00924,18.40,-66.01
00925,18.40,-66.05
00966,18.40,-66.12
00612,18.40,-66.71
00968,18.41,-66.10
00659,18.41,-66.81
00923,18.41,-66.04
00692,18.41,-66.34
00985,18.41,-65.95
00982,18.41,-65.99
00934,18.41,-66.12
00627,18.41,-66.86
00961,18.41,-66.16
00920,18.41,-66.09
00960,18.42,-66.15
00983,18.42,-65.98
00616,18.42,-66.67
00917,18.42,-66.05
00918,18.42,-66.07
00674,18.42,-66.49
00693,18.42,-66.40
00952,18.43,-66.18
00951,18.43,-66.25
00949,18.43,-66.21
00646,18.43,-66.29
00965,18.43,-66.11
00678,18.43,-66.93
00915,18.44,-66.05
00772,18.44,-65.91
00909,18.44,-66.07
00979,18.44,-66.03
00962,18.44,-66.15
00617,18.45,-66.56
00912,18.45,-66.06
00652,18.45,-66.59
00913,18.45,-66.04
00911,18.45,-66.06
00907,18.45,-66.08
00603,18.46,-67.12
00950,18.46,-66.23
00906,18.46,-66.09
00901,18.47,-66.10
00662,18.47,-67.02
00694,18.48,-66.39
00690,18.50,-67.10
96737,19.06,-155.78
96772,19.15,-155.62
96777,19.25,-155.46
96704,19.34,-155.84
96726,19.43,-155.82
96778,19.44,-155.03
96785,19.45,-155.41
96771,19.52,-155.12
96750,19.53,-155.71
96760,19.55,-155.06
96749,19.62,-154.99
96725,19.63,-155.91
96720,19.66,-155.23
96740,19.76,-155.92
96781,19.79,-155.22
96783,19.83,-155.14
96710,19.84,-155.25
96728,19.86,-155.12
96743,19.86,-155.70
96738,19.87,-155.80
96773,19.88,-155.24
96764,19.91,-155.28
96780,19.97,-155.22
96774,19.97,-155.32
96776,19.99,-155.40
96727,20.11,-155.64
96755,20.20,-155.79
96719,20.23,-155.84
96790,20.69,-156.31
96753,20.71,-156.44
96713,20.74,-156.05
96768,20.83,-156.30
96763,20.84,-156.93
96708,20.85,-156.22
96732,20.88,-156.46
96793,20.90,-156.53
96761,20.90,-156.61
96779,20.91,-156.38
96748,21.13,-156.84
96770,21.13,-157.22
96757,21.15,-156.98
96729,21.17,-157.12
96742,21.18,-156.97
96815,21.27,-157.82
96816,21.29,-157.79
96826,21.29,-157.83
96814,21.29,-157.85
96825,21.29,-157.69
96850,21.30,-157.86
96821,21.31,-157.75
96813,21.32,-157.85
96822,21.32,-157.81
96853,21.33,-157.94
96795,21.34,-157.71
96818,21.34,-157.94
96706,21.34,-158.02
96819,21.35,-157.88
96817,21.36,-157.82
96860,21.36,-157.94
96859,21.36,-157.89
96707,21.36,-158.08
96734,21.40,-157.76
96701,21.41,-157.88
96782,21.42,-157.94
96797,21.43,-157.97
96863,21.45,-157.76
96744,21.45,-157.82
96759,21.47,-158.07
96792,21.47,-158.17
96789,21.48,-157.93
96857,21.49,-158.05
96730,21.54,-157.85
96717,21.56,-157.91
96791,21.56,-158.19
96786,21.56,-157.98
96762,21.62,-157.94
96712,21.62,-158.05
96731,21.68,-157.97
96769,21.90,-160.15
96705,21.90,-159.57
96756,21.91,-159.45
96765,21.91,-159.48
96747,21.93,-159.62
96741,21.96,-159.51
96752,21.97,-159.71
96766,21.99,-159.40
96716,22.05,-159.59
96746,22.09,-159.39
96796,22.09,-159.72
96751,22.10,-159.30
96714,22.13,-159.52
96703,22.15,-159.39
96754,22.18,-159.41
96722,22.19,-159.46
33040,24.56,-81.89
33042,24.68,-81.51
33051,24.72,-81.02
33043,24.73,-81.33
33050,24.75,-81.01
33001,24.82,-80.81
33036,24.89,-80.71
33070,25.02,-80.52
33037,25.23,-80.40
33034,25.27,-80.63
33035,25.41,-80.38
33033,25.48,-80.41
33030,25.49,-80.51
33039,25.50,-80.40
33031,25.52,-80.50
33032,25.53,-80.39
33170,25.56,-80.46
33190,25.56,-80.35
33189,25.57,-80.34
33187,25.60,-80.51
33177,25.60,-80.40
33157,25.61,-80.34
33158,25.64,-80.31
33196,25.65,-80.49
33186,25.65,-80.41
33176,25.66,-80.36
33156,25.67,-80.30
33193,25.70,-80.47
33173,25.70,-80.36
33183,25.70,-80.40
33143,25.70,-80.30
33194,25.71,-80.58
33149,25.72,-80.17
33146,25.72,-80.27
33185,25.73,-80.45
33133,25.73,-80.24
33165,25.73,-80.36
33175,25.73,-80.41
33155,25.74,-80.31
33129,25.75,-80.19
33145,25.75,-80.23
33134,25.75,-80.27
33109,25.76,-80.14
33184,25.76,-80.41
33174,25.76,-80.36
33144,25.76,-80.31
33131,25.77,-80.18
33135,25.77,-80.24
33130,25.77,-80.20
33128,25.78,-80.20
33132,25.78,-80.18
33101,25.78,-80.20
